pays,population,date,sexe
Afghanistan,57686,1990,les deux
Afghanistan,71522,1995,les deux
Afghanistan,75917,2000,les deux
Afghanistan,87300,2005,les deux
Afghanistan,102246,2010,les deux
Afghanistan,489749,2015,les deux
Afghanistan,149762,2019,les deux
Albania,66013,1990,les deux
Albania,71354,1995,les deux
Albania,76695,2000,les deux
Albania,64739,2005,les deux
Albania,52784,2010,les deux
Albania,52031,2015,les deux
Albania,49160,2019,les deux
Algeria,273954,1990,les deux
Algeria,262032,1995,les deux
Algeria,250110,2000,les deux
Algeria,197422,2005,les deux
Algeria,216964,2010,les deux
Algeria,239473,2015,les deux
Algeria,249075,2019,les deux
American Samoa,21283,1990,les deux
American Samoa,23098,1995,les deux
American Samoa,24912,2000,les deux
American Samoa,24233,2005,les deux
American Samoa,23555,2010,les deux
American Samoa,23513,2015,les deux
American Samoa,23539,2019,les deux
Andorra,38891,1990,les deux
Andorra,44206,1995,les deux
Andorra,42147,2000,les deux
Andorra,50298,2005,les deux
Andorra,52053,2010,les deux
Andorra,42264,2015,les deux
Andorra,45102,2019,les deux
Angola,33517,1990,les deux
Angola,39813,1995,les deux
Angola,46108,2000,les deux
Angola,61329,2005,les deux
Angola,332126,2010,les deux
Angola,632178,2015,les deux
Angola,669479,2019,les deux
Anguilla,2570,1990,les deux
Anguilla,3317,1995,les deux
Anguilla,4063,2000,les deux
Anguilla,4684,2005,les deux
Anguilla,5103,2010,les deux
Anguilla,5470,2015,les deux
Anguilla,5679,2019,les deux
Antigua and Barbuda,12029,1990,les deux
Antigua and Barbuda,17550,1995,les deux
Antigua and Barbuda,23071,2000,les deux
Antigua and Barbuda,24741,2005,les deux
Antigua and Barbuda,26412,2010,les deux
Antigua and Barbuda,28083,2015,les deux
Antigua and Barbuda,29207,2019,les deux
Argentina,1649919,1990,les deux
Argentina,1595069,1995,les deux
Argentina,1540219,2000,les deux
Argentina,1673088,2005,les deux
Argentina,1805957,2010,les deux
Argentina,2086302,2015,les deux
Argentina,2212879,2019,les deux
Armenia,658789,1990,les deux
Armenia,693999,1995,les deux
Armenia,657900,2000,les deux
Armenia,469119,2005,les deux
Armenia,211147,2010,les deux
Armenia,191199,2015,les deux
Armenia,190159,2019,les deux
Aruba,14444,1990,les deux
Aruba,22274,1995,les deux
Aruba,30104,2000,les deux
Aruba,32540,2005,les deux
Aruba,34327,2010,les deux
Aruba,36114,2015,les deux
Aruba,36532,2019,les deux
Australia,3955213,1990,les deux
Australia,4153330,1995,les deux
Australia,4386250,2000,les deux
Australia,4878030,2005,les deux
Australia,5882980,2010,les deux
Australia,6729730,2015,les deux
Australia,7549270,2019,les deux
Austria,793239,1990,les deux
Austria,894893,1995,les deux
Austria,996547,2000,les deux
Austria,1136270,2005,les deux
Austria,1275992,2010,les deux
Austria,1492374,2015,les deux
Austria,1779857,2019,les deux
Azerbaijan,360600,1990,les deux
Azerbaijan,344070,1995,les deux
Azerbaijan,327540,2000,les deux
Azerbaijan,302220,2005,les deux
Azerbaijan,276901,2010,les deux
Azerbaijan,264241,2015,les deux
Azerbaijan,253887,2019,les deux
Bahamas,26855,1990,les deux
Bahamas,31654,1995,les deux
Bahamas,36454,2000,les deux
Bahamas,45595,2005,les deux
Bahamas,54736,2010,les deux
Bahamas,59306,2015,les deux
Bahamas,62962,2019,les deux
Bahrain,173212,1990,les deux
Bahrain,205979,1995,les deux
Bahrain,239361,2000,les deux
Bahrain,404018,2005,les deux
Bahrain,657856,2010,les deux
Bahrain,704137,2015,les deux
Bahrain,741161,2019,les deux
Bangladesh,881617,1990,les deux
Bangladesh,934735,1995,les deux
Bangladesh,987853,2000,les deux
Bangladesh,1166700,2005,les deux
Bangladesh,1345546,2010,les deux
Bangladesh,1422805,2015,les deux
Bangladesh,2185613,2019,les deux
Barbados,24024,1990,les deux
Barbados,26224,1995,les deux
Barbados,28424,2000,les deux
Barbados,30624,2005,les deux
Barbados,32825,2010,les deux
Barbados,34475,2015,les deux
Barbados,34807,2019,les deux
Belarus,1248977,1990,les deux
Belarus,1186282,1995,les deux
Belarus,1123586,2000,les deux
Belarus,1106982,2005,les deux
Belarus,1090378,2010,les deux
Belarus,1082905,2015,les deux
Belarus,1069395,2019,les deux
Belgium,1280583,1990,les deux
Belgium,1288003,1995,les deux
Belgium,1268368,2000,les deux
Belgium,1248733,2005,les deux
Belgium,1503806,2010,les deux
Belgium,1783488,2015,les deux
Belgium,1981919,2019,les deux
Belize,30404,1990,les deux
Belize,33446,1995,les deux
Belize,36488,2000,les deux
Belize,41424,2005,les deux
Belize,46360,2010,les deux
Belize,54674,2015,les deux
Belize,59998,2019,les deux
Benin,76751,1990,les deux
Benin,105703,1995,les deux
Benin,134655,2000,les deux
Benin,221889,2005,les deux
Benin,309124,2010,les deux
Benin,366284,2015,les deux
Benin,390112,2019,les deux
Bermuda,15683,1990,les deux
Bermuda,16676,1995,les deux
Bermuda,17668,2000,les deux
Bermuda,18276,2005,les deux
Bermuda,18884,2010,les deux
Bermuda,19126,2015,les deux
Bermuda,19336,2019,les deux
Bhutan,23807,1990,les deux
Bhutan,27972,1995,les deux
Bhutan,32137,2000,les deux
Bhutan,40279,2005,les deux
Bhutan,48420,2010,les deux
Bhutan,51106,2015,les deux
Bhutan,53254,2019,les deux
Bolivia (Plurinational State of),73758,1990,les deux
Bolivia (Plurinational State of),83598,1995,les deux
Bolivia (Plurinational State of),92658,2000,les deux
Bolivia (Plurinational State of),107745,2005,les deux
Bolivia (Plurinational State of),122846,2010,les deux
Bolivia (Plurinational State of),142989,2015,les deux
Bolivia (Plurinational State of),156114,2019,les deux
Bonaire,38410,1990,les deux
Bonaire,42258,1995,les deux
Bonaire,46105,2000,les deux
Bonaire,62205,2005,les deux
Bonaire,11445,2010,les deux
Bonaire,13002,2015,les deux
Bonaire,15484,2019,les deux
Bosnia and Herzegovina,56000,1990,les deux
Bosnia and Herzegovina,69476,1995,les deux
Bosnia and Herzegovina,82952,2000,les deux
Bosnia and Herzegovina,47272,2005,les deux
Bosnia and Herzegovina,38792,2010,les deux
Bosnia and Herzegovina,38574,2015,les deux
Bosnia and Herzegovina,35735,2019,les deux
Botswana,27510,1990,les deux
Botswana,40168,1995,les deux
Botswana,74934,2000,les deux
Botswana,84614,2005,les deux
Botswana,94614,2010,les deux
Botswana,103268,2015,les deux
Botswana,110596,2019,les deux
Brazil,798517,1990,les deux
Brazil,741557,1995,les deux
Brazil,684596,2000,les deux
Brazil,638582,2005,les deux
Brazil,592568,2010,les deux
Brazil,716568,2015,les deux
Brazil,807006,2019,les deux
British Virgin Islands,8035,1990,les deux
British Virgin Islands,10046,1995,les deux
British Virgin Islands,12958,2000,les deux
British Virgin Islands,15016,2005,les deux
British Virgin Islands,17074,2010,les deux
British Virgin Islands,19132,2015,les deux
British Virgin Islands,20778,2019,les deux
Brunei Darussalam,73200,1990,les deux
Brunei Darussalam,84748,1995,les deux
Brunei Darussalam,96296,2000,les deux
Brunei Darussalam,98441,2005,les deux
Brunei Darussalam,100587,2010,les deux
Brunei Darussalam,102733,2015,les deux
Brunei Darussalam,110641,2019,les deux
Bulgaria,21510,1990,les deux
Bulgaria,32435,1995,les deux
Bulgaria,43360,2000,les deux
Bulgaria,61074,2005,les deux
Bulgaria,76287,2010,les deux
Bulgaria,123803,2015,les deux
Bulgaria,168516,2019,les deux
Burkina Faso,349652,1990,les deux
Burkina Faso,464104,1995,les deux
Burkina Faso,520363,2000,les deux
Burkina Faso,597658,2005,les deux
Burkina Faso,674438,2010,les deux
Burkina Faso,704676,2015,les deux
Burkina Faso,718338,2019,les deux
Burundi,333110,1990,les deux
Burundi,254853,1995,les deux
Burundi,125628,2000,les deux
Burundi,172874,2005,les deux
Burundi,235259,2010,les deux
Burundi,289810,2015,les deux
Burundi,321018,2019,les deux
Cabo Verde,8931,1990,les deux
Cabo Verde,9979,1995,les deux
Cabo Verde,11027,2000,les deux
Cabo Verde,12700,2005,les deux
Cabo Verde,14373,2010,les deux
Cabo Verde,14924,2015,les deux
Cabo Verde,15664,2019,les deux
Cambodia,38375,1990,les deux
Cambodia,92230,1995,les deux
Cambodia,146085,2000,les deux
Cambodia,114031,2005,les deux
Cambodia,81977,2010,les deux
Cambodia,73963,2015,les deux
Cambodia,78649,2019,les deux
Cameroon,265967,1990,les deux
Cameroon,244791,1995,les deux
Cameroon,227242,2000,les deux
Cameroon,265503,2005,les deux
Cameroon,291474,2010,les deux
Cameroon,508346,2015,les deux
Cameroon,505692,2019,les deux
Canada,4333318,1990,les deux
Canada,4864778,1995,les deux
Canada,5511914,2000,les deux
Canada,6078985,2005,les deux
Canada,6761226,2010,les deux
Canada,7428657,2015,les deux
Canada,7960657,2019,les deux
Cayman Islands,9315,1990,les deux
Cayman Islands,12666,1995,les deux
Cayman Islands,19176,2000,les deux
Cayman Islands,20679,2005,les deux
Cayman Islands,24057,2010,les deux
Cayman Islands,26177,2015,les deux
Cayman Islands,28985,2019,les deux
Central African Republic,67234,1990,les deux
Central African Republic,99712,1995,les deux
Central African Republic,123529,2000,les deux
Central African Republic,94449,2005,les deux
Central African Republic,93466,2010,les deux
Central African Republic,81598,2015,les deux
Central African Republic,90649,2019,les deux
Chad,74342,1990,les deux
Chad,89584,1995,les deux
Chad,104825,2000,les deux
Chad,352062,2005,les deux
Chad,416924,2010,les deux
Chad,466968,2015,les deux
Chad,512230,2019,les deux
Channel Islands,61660,1990,les deux
Channel Islands,60519,1995,les deux
Channel Islands,64301,2000,les deux
Channel Islands,70941,2005,les deux
Channel Islands,77581,2010,les deux
Channel Islands,82307,2015,les deux
Channel Islands,83833,2019,les deux
Chile,107501,1990,les deux
Chile,142417,1995,les deux
Chile,177332,2000,les deux
Chile,276360,2005,les deux
Chile,375388,2010,les deux
Chile,639724,2015,les deux
Chile,939992,2019,les deux
China,376361,1990,les deux
China,442198,1995,les deux
China,508034,2000,les deux
China,678947,2005,les deux
China,849861,2010,les deux
China,978046,2015,les deux
China,1030871,2019,les deux
China,2218473,1990,les deux
China,2443798,1995,les deux
China,2669122,2000,les deux
China,2721235,2005,les deux
China,2779950,2010,les deux
China,2838665,2015,les deux
China,2942254,2019,les deux
China,205047,1990,les deux
China,224929,1995,les deux
China,240791,2000,les deux
China,279308,2005,les deux
China,318506,2010,les deux
China,376066,2015,les deux
China,399572,2019,les deux
Colombia,104277,1990,les deux
Colombia,106943,1995,les deux
Colombia,109609,2000,les deux
Colombia,107612,2005,les deux
Colombia,124271,2010,les deux
Colombia,139134,2015,les deux
Colombia,1142319,2019,les deux
Comoros,14079,1990,les deux
Comoros,13939,1995,les deux
Comoros,13799,2000,les deux
Comoros,13209,2005,les deux
Comoros,12618,2010,les deux
Comoros,12555,2015,les deux
Comoros,12504,2019,les deux
Congo,129391,1990,les deux
Congo,191635,1995,les deux
Congo,305880,2000,les deux
Congo,318724,2005,les deux
Congo,425173,2010,les deux
Congo,390142,2015,les deux
Congo,402142,2019,les deux
Cook Islands,2587,1990,les deux
Cook Islands,2686,1995,les deux
