pays,sexe,date,population
Afghanistan,tous,1990,57686
Afghanistan,homme,1990,32558
Afghanistan,femme,1990,25128
Afghanistan,tous,1995,71522
Afghanistan,homme,1995,39105
Afghanistan,femme,1995,32417
Afghanistan,tous,2000,75917
Afghanistan,homme,2000,42848
Afghanistan,femme,2000,33069
Afghanistan,tous,2005,87300
Afghanistan,homme,2005,49274
Afghanistan,femme,2005,38026
Afghanistan,tous,2010,102246
Afghanistan,homme,2010,57709
Afghanistan,femme,2010,44537
Afghanistan,tous,2015,489749
Afghanistan,homme,2015,248212
Afghanistan,femme,2015,241537
Afghanistan,tous,2019,149762
Afghanistan,homme,2019,74974
Afghanistan,femme,2019,74788
Albania,tous,1990,66013
Albania,homme,1990,30579
Albania,femme,1990,35434
Albania,tous,1995,71354
Albania,homme,1995,33284
Albania,femme,1995,38070
Albania,tous,2000,76695
Albania,homme,2000,35990
Albania,femme,2000,40705
Albania,tous,2005,64739
Albania,homme,2005,32993
Albania,femme,2005,31746
Albania,tous,2010,52784
Albania,homme,2010,26901
Albania,femme,2010,25883
Albania,tous,2015,52031
Albania,homme,2015,26517
Albania,femme,2015,25514
Albania,tous,2019,49160
Albania,homme,2019,25054
Albania,femme,2019,24106
Algeria,tous,1990,273954
Algeria,homme,1990,150234
Algeria,femme,1990,123720
Algeria,tous,1995,262032
Algeria,homme,1995,143696
Algeria,femme,1995,118336
Algeria,tous,2000,250110
Algeria,homme,2000,137158
Algeria,femme,2000,112952
Algeria,tous,2005,197422
Algeria,homme,2005,108266
Algeria,femme,2005,89156
Algeria,tous,2010,216964
Algeria,homme,2010,114727
Algeria,femme,2010,102237
Algeria,tous,2015,239473
Algeria,homme,2015,126522
Algeria,femme,2015,112951
Algeria,tous,2019,249075
Algeria,homme,2019,131596
Algeria,femme,2019,117479
American Samoa,tous,1990,21283
American Samoa,homme,1990,11175
American Samoa,femme,1990,10108
American Samoa,tous,1995,23098
American Samoa,homme,1995,12037
American Samoa,femme,1995,11061
American Samoa,tous,2000,24912
American Samoa,homme,2000,12898
American Samoa,femme,2000,12014
American Samoa,tous,2005,24233
American Samoa,homme,2005,12498
American Samoa,femme,2005,11735
American Samoa,tous,2010,23555
