pays,id,date,idh,pop
Afghanistan,AFG,2005,0.408,87300
Afghanistan,AFG,2010,0.463,102246
Afghanistan,AFG,2019,0.498,149762
Afghanistan,AFG,2015,0.493,489749
Albania,ALB,2019,0.785,49160
Albania,ALB,2015,0.776,52031
Albania,ALB,2010,0.741,52784
Albania,ALB,2005,0.704,64739
Albania,ALB,1990,0.645,66013
Albania,ALB,1995,0.632,71354
Albania,ALB,2000,0.669,76695
Algeria,DZA,2005,0.692,197422
Algeria,DZA,2010,0.729,216964
Algeria,DZA,2015,0.749,239473
Algeria,DZA,2019,0.754,249075
Algeria,DZA,2000,0.644,250110
Algeria,DZA,1995,0.6,262032
Algeria,DZA,1990,0.577,273954
Andorra,AND,2000,0.759,42147
Andorra,AND,2015,0.854,42264
Andorra,AND,2019,0.858,45102
Andorra,AND,2005,0.819,50298
Andorra,AND,2010,0.828,52053
Angola,AGO,2000,0.387,46108
Angola,AGO,2005,0.455,61329
Angola,AGO,2010,0.52,332126
Angola,AGO,2015,0.572,632178
Angola,AGO,2019,0.581,669479
Antigua and Barbuda,ATG,2005,0.766,24741
Antigua and Barbuda,ATG,2010,0.766,26412
Antigua and Barbuda,ATG,2015,0.775,28083
Antigua and Barbuda,ATG,2019,0.78,29207
Argentina,ARG,2000,0.771,1540219
Argentina,ARG,1995,0.731,1595069
Argentina,ARG,1990,0.704,1649919
Argentina,ARG,2005,0.782,1673088
Argentina,ARG,2010,0.813,1805957
Argentina,ARG,2015,0.822,2086302
Argentina,ARG,2019,0.825,2212879
Armenia,ARM,2019,0.755,190159
Armenia,ARM,2015,0.748,191199
Armenia,ARM,2010,0.728,211147
Armenia,ARM,2005,0.693,469119
Armenia,ARM,2000,0.647,657900
Armenia,ARM,1990,0.631,658789
Armenia,ARM,1995,0.605,693999
Australia,AUS,1990,0.866,3955213
Australia,AUS,1995,0.883,4153330
Australia,AUS,2000,0.898,4386250
Australia,AUS,2005,0.908,4878030
Australia,AUS,2010,0.923,5882980
Australia,AUS,2015,0.936,6729730
Australia,AUS,2019,0.939,7549270
Austria,AUT,1990,0.795,793239
Austria,AUT,1995,0.817,894893
Austria,AUT,2000,0.838,996547
Austria,AUT,2005,0.855,1136270
Austria,AUT,2010,0.895,1275992
Austria,AUT,2015,0.903,1492374
Austria,AUT,2019,0.908,1779857
Azerbaijan,AZE,2019,0.757,253887
Azerbaijan,AZE,2015,0.758,264241
Azerbaijan,AZE,2010,0.74,276901
Azerbaijan,AZE,2005,0.679,302220
Azerbaijan,AZE,2000,0.64,327540
Azerbaijan,AZE,1995,0.612,344070
Bahamas,BHS,2000,0.776,36454
Bahamas,BHS,2005,0.786,45595
Bahamas,BHS,2010,0.789,54736
Bahamas,BHS,2015,0.807,59306
Bahamas,BHS,2019,0.807,62962
Bahrain,BHR,1990,0.746,173212
Bahrain,BHR,1995,0.775,205979
Bahrain,BHR,2000,0.792,239361
Bahrain,BHR,2005,0.791,404018
Bahrain,BHR,2010,0.796,657856
Bahrain,BHR,2015,0.832,704137
Bahrain,BHR,2019,0.846,741161
Bangladesh,BGD,1990,0.387,881617
Bangladesh,BGD,1995,0.425,934735
Bangladesh,BGD,2000,0.468,987853
Bangladesh,BGD,2005,0.505,1166700
Bangladesh,BGD,2010,0.545,1345546
Bangladesh,BGD,2015,0.592,1422805
Bangladesh,BGD,2019,0.608,2185613
Barbados,BRB,1990,0.716,24024
Barbados,BRB,1995,0.731,26224
Barbados,BRB,2000,0.752,28424
Barbados,BRB,2005,0.767,30624
Barbados,BRB,2010,0.782,32825
Barbados,BRB,2015,0.797,34475
Barbados,BRB,2019,0.8,34807
Belarus,BLR,2019,0.808,1069395
Belarus,BLR,2015,0.805,1082905
Belarus,BLR,2010,0.792,1090378
Belarus,BLR,2005,0.725,1106982
Belarus,BLR,2000,0.683,1123586
Belarus,BLR,1995,0.657,1186282
Belgium,BEL,2005,0.889,1248733
Belgium,BEL,2000,0.873,1268368
Belgium,BEL,1990,0.806,1280583
Belgium,BEL,1995,0.852,1288003
Belgium,BEL,2010,0.903,1503806
Belgium,BEL,2015,0.913,1783488
Belgium,BEL,2019,0.916,1981919
Belize,BLZ,1990,0.644,30404
Belize,BLZ,1995,0.662,33446
Belize,BLZ,2000,0.677,36488
Belize,BLZ,2005,0.693,41424
Belize,BLZ,2010,0.699,46360
Belize,BLZ,2015,0.709,54674
Belize,BLZ,2019,0.708,59998
Benin,BEN,1990,0.348,76751
Benin,BEN,1995,0.373,105703
Benin,BEN,2000,0.398,134655
Benin,BEN,2005,0.44,221889
Benin,BEN,2010,0.473,309124
Benin,BEN,2015,0.508,366284
Benin,BEN,2019,0.515,390112
Bhutan,BTN,2005,0.51,40279
Bhutan,BTN,2010,0.566,48420
Bhutan,BTN,2015,0.603,51106
Bhutan,BTN,2019,0.612,53254
Bolivia,BOL,1990,0.536,73758
Bolivia,BOL,1995,0.571,83598
Bolivia,BOL,2000,0.608,92658
Bolivia,BOL,2005,0.624,107745
Bolivia,BOL,2010,0.649,122846
Bolivia,BOL,2015,0.681,142989
Bolivia,BOL,2019,0.693,156114
Bosnia and Herzegovina,BIH,2019,0.768,35735
Bosnia and Herzegovina,BIH,2015,0.755,38574
Bosnia and Herzegovina,BIH,2010,0.713,38792
Bosnia and Herzegovina,BIH,2005,0.7,47272
Bosnia and Herzegovina,BIH,2000,0.672,82952
Botswana,BWA,1990,0.581,27510
Botswana,BWA,1995,0.577,40168
Botswana,BWA,2000,0.565,74934
Botswana,BWA,2005,0.596,84614
Botswana,BWA,2010,0.66,94614
Botswana,BWA,2015,0.706,103268
Botswana,BWA,2019,0.717,110596
Brazil,BRA,2010,0.727,592568
Brazil,BRA,2005,0.7,638582
Brazil,BRA,2000,0.684,684596
Brazil,BRA,2015,0.757,716568
Brazil,BRA,1995,0.648,741557
Brazil,BRA,1990,0.611,798517
Brazil,BRA,2019,0.759,807006
Brunei,BRN,1990,0.782,73200
Brunei,BRN,1995,0.805,84748
Brunei,BRN,2000,0.819,96296
Brunei,BRN,2005,0.838,98441
Brunei,BRN,2010,0.842,100587
Brunei,BRN,2015,0.852,102733
Brunei,BRN,2019,0.853,110641
Bulgaria,BGR,1990,0.694,21510
Bulgaria,BGR,1995,0.696,32435
Bulgaria,BGR,2000,0.712,43360
Bulgaria,BGR,2005,0.75,61074
Bulgaria,BGR,2010,0.779,76287
Bulgaria,BGR,2015,0.807,123803
Bulgaria,BGR,2019,0.813,168516
Burkina Faso,BFA,2000,0.286,520363
Burkina Faso,BFA,2005,0.324,597658
Burkina Faso,BFA,2010,0.375,674438
Burkina Faso,BFA,2015,0.412,704676
Burkina Faso,BFA,2019,0.423,718338
Burundi,BDI,2000,0.303,125628
Burundi,BDI,2005,0.33,172874
Burundi,BDI,2010,0.395,235259
Burundi,BDI,1995,0.296,254853
Burundi,BDI,2015,0.418,289810
Burundi,BDI,2019,0.417,321018
Burundi,BDI,1990,0.297,333110
Cambodia,KHM,1990,0.364,38375
Cambodia,KHM,2015,0.571,73963
Cambodia,KHM,2019,0.582,78649
Cambodia,KHM,2010,0.537,81977
Cambodia,KHM,1995,0.387,92230
Cambodia,KHM,2005,0.49,114031
Cambodia,KHM,2000,0.42,146085
Cameroon,CMR,2000,0.431,227242
Cameroon,CMR,1995,0.422,244791
Cameroon,CMR,2005,0.466,265503
Cameroon,CMR,1990,0.44,265967
Cameroon,CMR,2010,0.506,291474
Cameroon,CMR,2019,0.556,505692
Cameroon,CMR,2015,0.548,508346
Canada,CAN,1990,0.849,4333318
Canada,CAN,1995,0.861,4864778
Canada,CAN,2000,0.867,5511914
Canada,CAN,2005,0.892,6078985
Canada,CAN,2010,0.902,6761226
Canada,CAN,2015,0.92,7428657
Canada,CAN,2019,0.926,7960657
Cape Verde,CPV,2000,0.57,11027
Cape Verde,CPV,2005,0.598,12700
Cape Verde,CPV,2010,0.629,14373
Cape Verde,CPV,2015,0.647,14924
Cape Verde,CPV,2019,0.654,15664
Central African Republic,CAF,1990,0.317,67234
Central African Republic,CAF,2015,0.357,81598
Central African Republic,CAF,2019,0.367,90649
Central African Republic,CAF,2010,0.351,93466
Central African Republic,CAF,2005,0.319,94449
Central African Republic,CAF,1995,0.303,99712
Central African Republic,CAF,2000,0.309,123529
Chad,TCD,2000,0.299,104825
Chad,TCD,2005,0.33,352062
Chad,TCD,2010,0.371,416924
Chad,TCD,2015,0.407,466968
Chad,TCD,2019,0.404,512230
Chile,CHL,1990,0.701,107501
Chile,CHL,1995,0.727,142417
Chile,CHL,2000,0.759,177332
Chile,CHL,2005,0.788,276360
Chile,CHL,2010,0.808,375388
Chile,CHL,2015,0.84,639724
Chile,CHL,2019,0.843,939992
China,CHN,1990,0.502,205047
China,CHN,1995,0.55,224929
China,CHN,2000,0.594,240791
China,CHN,2005,0.647,279308
China,CHN,2010,0.706,318506
China,CHN,2015,0.743,376066
China,CHN,2019,0.752,399572
Colombia,COL,1990,0.592,104277
Colombia,COL,1995,0.625,106943
Colombia,COL,2005,0.683,107612
Colombia,COL,2000,0.653,109609
Colombia,COL,2010,0.719,124271
Colombia,COL,2015,0.742,139134
Colombia,COL,2019,0.747,1142319
Comoros,COM,2019,0.503,12504
Comoros,COM,2015,0.502,12555
Comoros,COM,2010,0.482,12618
Comoros,COM,2005,0.455,13209
Congo,COG,1990,0.536,129391
Congo,COG,1995,0.507,191635
Congo,COG,2000,0.49,305880
Congo,COG,2005,0.5,318724
Congo,COG,2015,0.613,390142
Congo,COG,2019,0.606,402142
Congo,COG,2010,0.557,425173
Costa Rica,CRI,2000,0.711,310946
Costa Rica,CRI,2005,0.728,358175
Costa Rica,CRI,1995,0.687,364287
Costa Rica,CRI,2010,0.754,405404
Costa Rica,CRI,2015,0.788,411697
Costa Rica,CRI,1990,0.656,417628
Costa Rica,CRI,2019,0.794,417768
Cote d'Ivoire,CIV,1990,0.388,1816426
Cote d'Ivoire,CIV,1995,0.387,2076394
Cote d'Ivoire,CIV,2000,0.394,2163644
Cote d'Ivoire,CIV,2005,0.413,2265090
Cote d'Ivoire,CIV,2010,0.442,2366537
Cote d'Ivoire,CIV,2015,0.478,2467984
Cote d'Ivoire,CIV,2019,0.492,2549141
Croatia,HRV,1990,0.67,475438
Croatia,HRV,2019,0.831,518083
Croatia,HRV,2015,0.827,561093
Croatia,HRV,2010,0.808,573248
Croatia,HRV,2005,0.783,579273
Croatia,HRV,2000,0.75,585298
Croatia,HRV,1995,0.696,674085
Cuba,CUB,2019,0.777,4886
Cuba,CUB,2015,0.772,5312
Cuba,CUB,2010,0.779,6640
Cuba,CUB,2005,0.731,11935
Cuba,CUB,2000,0.686,17818
Cuba,CUB,1995,0.654,26187
Cuba,CUB,1990,0.676,34555
Cyprus,CYP,1990,0.732,43805
Cyprus,CYP,1995,0.786,61941
Cyprus,CYP,2000,0.802,80076
Cyprus,CYP,2005,0.831,117165
Cyprus,CYP,2010,0.85,191866
Cyprus,CYP,2019,0.869,191922
Cyprus,CYP,2015,0.86,192020
Czech Republic,CZE,1990,0.73,110394
Czech Republic,CZE,1995,0.753,165592
Czech Republic,CZE,2000,0.796,220789
Czech Republic,CZE,2005,0.835,322540
Czech Republic,CZE,2010,0.862,398493
Czech Republic,CZE,2015,0.882,416454
Czech Republic,CZE,2019,0.888,512705
Democratic Republic of Congo,COD,2010,0.407,588950
Democratic Republic of Congo,COD,2005,0.364,622869
Democratic Republic of Congo,COD,2000,0.333,744387
Democratic Republic of Congo,COD,1990,0.356,754194
Democratic Republic of Congo,COD,2015,0.444,824492
Democratic Republic of Congo,COD,2019,0.457,963833
Democratic Republic of Congo,COD,1995,0.333,1816963
Denmark,DNK,1990,0.799,235189
Denmark,DNK,1995,0.831,303108
Denmark,DNK,2000,0.863,371026
Denmark,DNK,2005,0.903,440383
Denmark,DNK,2010,0.91,500772
Denmark,DNK,2015,0.926,595876
Denmark,DNK,2019,0.929,722878
Djibouti,DJI,2005,0.405,92091
Djibouti,DJI,1995,0.355,99774
Djibouti,DJI,2000,0.363,100507
Djibouti,DJI,2010,0.449,101575
Djibouti,DJI,2015,0.47,112351
Djibouti,DJI,2019,0.476,115341
Dominica,DMA,2000,0.693,3723
Dominica,DMA,2005,0.705,4744
Dominica,DMA,2015,0.721,8093
Dominica,DMA,2010,0.722,8110
Dominica,DMA,2019,0.715,8264
Dominican Republic,DOM,1990,0.598,291151
Dominican Republic,DOM,1995,0.629,323381
Dominican Republic,DOM,2000,0.657,355611
Dominican Republic,DOM,2005,0.675,376001
Dominican Republic,DOM,2010,0.703,393720
Dominican Republic,DOM,2015,0.729,549289
Dominican Republic,DOM,2019,0.736,567648
Ecuador,ECU,1990,0.643,78663
Ecuador,ECU,1995,0.662,115093
Ecuador,ECU,2000,0.67,151523
Ecuador,ECU,2005,0.693,187404
Ecuador,ECU,2010,0.715,325366
Ecuador,ECU,2019,0.752,381507
Ecuador,ECU,2015,0.743,387513
Egypt,EGY,1995,0.576,166955
Egypt,EGY,1990,0.546,173833
Egypt,EGY,2000,0.611,184774
Egypt,EGY,2005,0.634,285006
Egypt,EGY,2010,0.665,310017
Egypt,EGY,2015,0.691,353641
Egypt,EGY,2019,0.696,504053
El Salvador,SLV,2000,0.615,31713
El Salvador,SLV,2005,0.651,36019
El Salvador,SLV,1995,0.577,39537
El Salvador,SLV,2010,0.671,40324
El Salvador,SLV,2015,0.674,42045
El Salvador,SLV,2019,0.674,42617
El Salvador,SLV,1990,0.529,47360
Equatorial Guinea,GNQ,2000,0.516,4517
Equatorial Guinea,GNQ,2005,0.567,6588
Equatorial Guinea,GNQ,2010,0.581,8658
Equatorial Guinea,GNQ,2015,0.593,209611
Equatorial Guinea,GNQ,2019,0.591,227617
Eritrea,ERI,2005,0.408,14314
Eritrea,ERI,2010,0.416,15676
Eritrea,ERI,2015,0.433,15941
Eritrea,ERI,2019,0.44,16101
Estonia,EST,2019,0.871,190242
Estonia,EST,2015,0.866,194664
Estonia,EST,2010,0.845,217890
Estonia,EST,2005,0.825,233701
Estonia,EST,2000,0.78,249512
Estonia,EST,1995,0.727,315755
Estonia,EST,1990,0.733,381997
Ethiopia,ETH,2005,0.346,514242
Ethiopia,ETH,2010,0.412,568748
Ethiopia,ETH,2000,0.283,611384
Ethiopia,ETH,2015,0.451,1161642
Ethiopia,ETH,2019,0.463,1253083
Fiji,FJI,2005,0.695,12435
Fiji,FJI,2000,0.683,12719
Fiji,FJI,1995,0.673,13001
Fiji,FJI,1990,0.643,13283
Fiji,FJI,2010,0.711,13351
Fiji,FJI,2015,0.738,13751
Fiji,FJI,2019,0.741,14038
Finland,FIN,1990,0.784,63255
Finland,FIN,1995,0.816,99729
Finland,FIN,2000,0.858,136203
Finland,FIN,2005,0.895,192169
Finland,FIN,2010,0.903,228481
Finland,FIN,2015,0.915,314856
Finland,FIN,2019,0.92,383116
France,FRA,1990,0.779,5897267
France,FRA,1995,0.825,6087993
France,FRA,2000,0.849,6278718
France,FRA,2005,0.869,6737600
France,FRA,2010,0.882,7309986
France,FRA,2015,0.898,7874172
France,FRA,2019,0.901,8334875
Gabon,GAB,1990,0.62,128188
Gabon,GAB,1995,0.632,171427
Gabon,GAB,2000,0.633,214431
Gabon,GAB,2005,0.647,233824
Gabon,GAB,2010,0.665,270829
Gabon,GAB,2015,0.694,378686
Gabon,GAB,2019,0.702,411463
Gambia,GMB,1990,0.333,118123
Gambia,GMB,1995,0.353,150890
Gambia,GMB,2005,0.416,181905
Gambia,GMB,2000,0.385,182514
Gambia,GMB,2010,0.441,185763
Gambia,GMB,2015,0.457,192540
Gambia,GMB,2019,0.46,215406
Georgia,GEO,2005,0.712,72311
Georgia,GEO,2010,0.735,73034
Georgia,GEO,2000,0.673,76117
Georgia,GEO,2015,0.771,76685
Georgia,GEO,2019,0.78,79035
Germany,DEU,1990,0.801,5936181
Germany,DEU,1995,0.834,7464406
Germany,DEU,2000,0.868,8992631
Germany,DEU,2005,0.903,9402447
Germany,DEU,2010,0.921,9812263
Germany,DEU,2015,0.933,10220418
Germany,DEU,2019,0.936,13132146
Ghana,GHA,1990,0.455,164851
Ghana,GHA,2000,0.484,191601
Ghana,GHA,1995,0.473,252879
Ghana,GHA,2005,0.509,304436
Ghana,GHA,2010,0.554,337017
Ghana,GHA,2015,0.585,414744
Ghana,GHA,2019,0.592,466780
Greece,GRC,1990,0.753,618139
Greece,GRC,1995,0.768,857850
Greece,GRC,2000,0.796,1111665
Greece,GRC,2005,0.845,1190707
Greece,GRC,2019,0.87,1211382
Greece,GRC,2015,0.866,1242924
Greece,GRC,2010,0.856,1321149
Grenada,GRD,2005,0.727,6902
Grenada,GRD,2010,0.743,6980
Grenada,GRD,2015,0.767,7057
Grenada,GRD,2019,0.772,7124
Guatemala,GTM,2000,0.546,48119
Guatemala,GTM,2005,0.571,57252
Guatemala,GTM,2010,0.611,66384
Guatemala,GTM,2015,0.645,78352
Guatemala,GTM,2019,0.65,80421
Guatemala,GTM,1995,0.507,156188
Guatemala,GTM,1990,0.478,264257
Guinea,GIN,2019,0.459,120642
Guinea,GIN,2015,0.443,126386
