pays,id,date,iig,pop
Afghanistan,AFG,1995,..,1629169
Afghanistan,AFG,2000,..,1978970
Afghanistan,AFG,2005,0.674,1751857
Afghanistan,AFG,2010,0.665,2271753
Afghanistan,AFG,2015,0.614,2374521
Afghanistan,AFG,2019,0.575,2392067
Albania,ALB,1995,..,219133
Albania,ALB,2000,0.380,369654
Albania,ALB,2005,0.329,448750
Albania,ALB,2010,0.269,537519
Albania,ALB,2015,0.256,559242
Albania,ALB,2019,0.234,587878
Algeria,DZA,1995,0.679,429456
Algeria,DZA,2000,0.627,457708
Algeria,DZA,2005,0.561,763959
Algeria,DZA,2010,0.523,741835
Algeria,DZA,2015,0.442,851490
Algeria,DZA,2019,0.443,903212
