pays,id,date,chomage,pop
Afghanistan,AFG,1990,2.9760000705719,0.5497245153761895
Afghanistan,AFG,1995,3.65300011634827,0.20518731043274685
Afghanistan,AFG,2000,3.51699995994568,0.2216739373760855
Afghanistan,AFG,2005,2.94199991226196,0.1519690459411505
Afghanistan,AFG,2010,2.27500009536743,0.17322998706172896
Afghanistan,AFG,2015,1.67900002002716,0.144623333976393
Afghanistan,AFG,2019,1.51900005340576,0.1377569898257271
Albania,ALB,1990,16.7810001373291,0.054855224731648035
Albania,ALB,1995,17.6070003509521,0.15720701277125426
Albania,ALB,2000,17.7670001983643,0.2668843619689954
Albania,ALB,2005,16.8740005493164,0.3208494673893661
Albania,ALB,2010,14.0860004425049,0.38458528105358664
Albania,ALB,2015,17.0799999237061,0.3919334967888047
Albania,ALB,2019,13.956000328064,0.4211003720377229
Algeria,DZA,1990,20.6000003814697,0.03578289869792032
Algeria,DZA,1995,31.8400001525879,0.034067436000373465
Algeria,DZA,2000,29.7700004577637,0.03343986024202188
Algeria,DZA,2005,15.2700004577637,0.04826230227437188
Algeria,DZA,2010,9.96000003814697,0.046041416770585916
Algeria,DZA,2015,11.206000328064,0.046281535515546014
Algeria,DZA,2019,12.3489999771118,0.04605390363918108
Angola,AGO,1990,22.6019992828369,0.06962484172949801
Angola,AGO,1995,21.1480007171631,0.04938327909964184
Angola,AGO,2000,22.8850002288818,0.05570525473708505
Angola,AGO,2005,20.5319995880127,0.0368694388204513
Angola,AGO,2010,9.08899974822998,0.028260363416278456
Angola,AGO,2015,7.27899980545044,0.023118856394911545
Angola,AGO,2019,7.24599981307983,0.021473388856428036
Argentina,ARG,1990,5.44000005722046,0.013187823126100463
Argentina,ARG,1995,18.7999992370605,0.013839257130076027
Argentina,ARG,2000,15,0.01506848768918331
Argentina,ARG,2005,11.5059995651245,0.020785499555176234
Argentina,ARG,2010,7.71400022506714,0.022998837440586433
Argentina,ARG,2015,7.64300012588501,0.0219515845857803
Argentina,ARG,2019,9.98499965667725,0.022776162322257255
Armenia,ARM,1990,1.60000002384186,0.25426950817244276
Armenia,ARM,1995,6.69999980926514,0.28031534046052836
Armenia,ARM,2000,11.2530002593994,0.2855331540912128
Armenia,ARM,2005,10.8000001907349,0.30124286000357564
Armenia,ARM,2010,19.007999420166,0.31882109700036737
Armenia,ARM,2015,18.2609996795654,0.32369196524554505
Armenia,ARM,2019,17.7070007324219,0.32687033162407986
Australia,AUS,1990,9.57900047302246,0.01779632114666776
Australia,AUS,1995,8.4689998626709,0.019052180168216026
Australia,AUS,2000,6.28299999237061,0.020107554952226804
Australia,AUS,2005,5.03200006484985,0.021113175907584287
Australia,AUS,2010,5.21099996566772,0.022142771227887027
Australia,AUS,2015,6.05600023269653,0.022240347296008416
Australia,AUS,2019,5.32800006866455,0.02309725020465247
Austria,AUT,1990,3.42000007629395,0.06591532785871045
Austria,AUT,1995,4.34700012207031,0.06175538902891922
Austria,AUT,2000,4.68699979782104,0.05976746618576193
Austria,AUT,2005,5.62799978256226,0.06011148262804198
Austria,AUT,2010,4.82000017166138,0.06219381486294337
Austria,AUT,2015,5.72300004959106,0.0614913234858694
Austria,AUT,2019,4.63500022888184,0.06510089197095027
Azerbaijan,AZE,1990,0.899999976158142,0.22825548260930298
Azerbaijan,AZE,1995,7.19999980926514,0.22279908913467794
Azerbaijan,AZE,2000,11.8000001907349,0.20233108863653307
Azerbaijan,AZE,2005,7.30000019073486,0.17232386184214446
Azerbaijan,AZE,2010,5.63000011444092,0.1286198694724249
Azerbaijan,AZE,2015,4.96000003814697,0.11791561724266973
Azerbaijan,AZE,2019,5.39599990844727,0.11625559954030915
Bahamas,BHS,1990,12.1700000762939,0.09828157503424752
Bahamas,BHS,1995,10.8299999237061,0.10595180310081946
Bahamas,BHS,2000,7.15299987792969,0.11555404947475433
Bahamas,BHS,2005,10.1999998092651,0.10732656321665707
Bahamas,BHS,2010,14.539999961853,0.10143629099965629
Bahamas,BHS,2015,12,0.11528943950658194
Bahamas,BHS,2019,11.5019998550415,0.1204932060989524
Bahrain,BHR,1990,0.97299998998642,0.025850370313612175
Bahrain,BHR,1995,1.12800002098083,0.04615245424403536
Bahrain,BHR,2000,1.05299997329712,0.07182848312772434
Bahrain,BHR,2005,0.986000001430511,0.0591083309715643
Bahrain,BHR,2010,1.12999999523163,0.04281304901439324
Bahrain,BHR,2015,1.07599997520447,0.042227618013909674
Bahrain,BHR,2019,0.967999994754791,0.03832770818107617
Bangladesh,BGD,1990,2.20000004768372,0.052842179322450764
Bangladesh,BGD,1995,2.48000001907349,0.04710474339960092
Bangladesh,BGD,2000,3.26999998092651,0.0426352302616649
Bangladesh,BGD,2005,4.25,0.0416214980482863
Bangladesh,BGD,2010,3.37899994850159,0.04574010050317997
Bangladesh,BGD,2015,4.41599988937378,0.046766294366313965
Bangladesh,BGD,2019,4.29300022125244,0.04855815777679074
Barbados,BRB,1990,22.4930000305176,0.32548594291320476
Barbados,BRB,1995,19.6599998474121,0.3381060705758493
Barbados,BRB,2000,9.35000038146973,0.35155700421707825
Barbados,BRB,2005,9.07999992370605,0.3383865982925779
Barbados,BRB,2010,10.6899995803833,0.3415009339633007
Barbados,BRB,2015,11.3500003814697,0.363309781161066
Barbados,BRB,2019,9.58800029754639,0.3939596917398418
Belarus,BLR,1990,0.600000023841858,0.17348179409166747
Belarus,BLR,1995,17.7000007629395,0.1703452030606239
Belarus,BLR,2000,11.9420003890991,0.1689096066880369
Belarus,BLR,2005,8.53499984741211,0.16362012703961076
Belarus,BLR,2010,6.06099987030029,0.1543783980394039
Belarus,BLR,2015,5.91300010681152,0.15513746815466506
Belarus,BLR,2019,5.79500007629395,0.1561132040382964
Belgium,BEL,1990,6.98600006103516,0.03665557414842959
Belgium,BEL,1995,9.33899974822998,0.03709529555202321
Belgium,BEL,2000,6.58599996566772,0.039025874893305695
Belgium,BEL,2005,8.4399995803833,0.041960976338766845
Belgium,BEL,2010,8.29199981689453,0.04471563071504369
Belgium,BEL,2015,8.48200035095215,0.04722704838553454
Belgium,BEL,2019,6.44099998474121,0.05093123241780735
Belize,BLZ,1990,8.07400035858154,0.19257059375533186
Belize,BLZ,1995,12.4799995422363,0.2027367210564207
Belize,BLZ,2000,10.5590000152588,0.1949457170005863
Belize,BLZ,2005,10.9099998474121,0.18284355179704018
Belize,BLZ,2010,11.6590003967285,0.1777903890046641
Belize,BLZ,2015,9.97000026702881,0.17525690363585486
Belize,BLZ,2019,9.49699974060059,0.17788869426294343
Benin,BEN,1990,1.48099994659424,0.04706521808996131
Benin,BEN,1995,1.2059999704361,0.046684157534309205
Benin,BEN,2000,0.815999984741211,0.04777881461723219
Benin,BEN,2005,0.805000007152557,0.06314692958416983
Benin,BEN,2010,1.03999996185303,0.058790822173829436
Benin,BEN,2015,2.46300005912781,0.06005322263187276
Benin,BEN,2019,2.02500009536743,0.0580195224260273
Bhutan,BTN,1990,1.29499995708466,0.053626197240412656
Bhutan,BTN,1995,1.32599997520447,0.22066327484942577
Bhutan,BTN,2000,1.70799994468689,0.2033548723311016
Bhutan,BTN,2005,3.09999990463257,0.18193911573067134
Bhutan,BTN,2010,3.3199999332428,0.12567997514234072
Bhutan,BTN,2015,2.45000004768372,0.06592056888810731
Bhutan,BTN,2019,2.18700003623962,0.06523911908101072
Bolivia (Plurinational State of),BOL,1990,2.89000010490417,0.03273097909609573
Bolivia (Plurinational State of),BOL,1995,3.28900003433228,0.037198560336736575
Bolivia (Plurinational State of),BOL,2000,3.3659999370575,0.04094822875595253
Bolivia (Plurinational State of),BOL,2005,3.25600004196167,0.05890001912848209
Bolivia (Plurinational State of),BOL,2010,2.57699990272522,0.0776322847285042
Bolivia (Plurinational State of),BOL,2015,3.06599998474121,0.07597484022142224
Bolivia (Plurinational State of),BOL,2019,3.26600003242493,0.07735400473278675
Bosnia and Herzegovina,BIH,1990,17.5499992370605,0.19307289495080346
Bosnia and Herzegovina,BIH,1995,21.2119998931885,0.3584528799571695
Bosnia and Herzegovina,BIH,2000,26.1870002746582,0.39899540837326747
Bosnia and Herzegovina,BIH,2005,30.4899997711182,0.397566375970665
Bosnia and Herzegovina,BIH,2010,27.3120002746582,0.4235020531797299
Bosnia and Herzegovina,BIH,2015,27.6499996185303,0.4683096938467545
Bosnia and Herzegovina,BIH,2019,21.2180004119873,0.497319888601712
