pays,id,date,idh,pop
Afghanistan,AFG,2005,0.408,0.00340294134970165
Afghanistan,AFG,2010,0.463,0.0035033141620599566
Afghanistan,AFG,2015,0.493,0.01423126198090912
Afghanistan,AFG,2019,0.498,0.004028850878714108
Albania,ALB,1990,0.645,0.020085853155079107
Albania,ALB,1995,0.632,0.02238357429487067
Albania,ALB,2000,0.669,0.02482820642228119
Albania,ALB,2005,0.704,0.021497353300877608
Albania,ALB,2010,0.741,0.018120020418665023
Albania,ALB,2015,0.776,0.018061910582243292
Albania,ALB,2019,0.785,0.017150576197958678
Algeria,DZA,1990,0.577,0.010635327195460328
Algeria,DZA,1995,0.6,0.009111689234758519
Algeria,DZA,2000,0.644,0.00805708738433299
Algeria,DZA,2005,0.692,0.005955464365253841
Algeria,DZA,2010,0.729,0.0060305544124785926
Algeria,DZA,2015,0.749,0.0060278103429506
Algeria,DZA,2019,0.754,0.00589827767450217
Andorra,AND,2000,0.759,0.6445480960391498
Andorra,AND,2005,0.819,0.6377572368671307
Andorra,AND,2010,0.828,0.6163838529763526
Andorra,AND,2015,0.854,0.5417697504198126
Andorra,AND,2019,0.858,0.5856946211983481
Angola,AGO,2000,0.387,0.002812239695676971
Angola,AGO,2005,0.455,0.0031558225798799418
Angola,AGO,2010,0.52,0.014220007787210324
Angola,AGO,2015,0.572,0.022671401599339787
Angola,AGO,2019,0.581,0.021729444063865212
Antigua and Barbuda,ATG,2005,0.766,0.3037009758792119
Antigua and Barbuda,ATG,2010,0.766,0.30004089607852047
Antigua and Barbuda,ATG,2015,0.775,0.30014107688690334
Antigua and Barbuda,ATG,2019,0.78,0.30333589514571174
Argentina,ARG,1990,0.704,0.050582073427868
Argentina,ARG,1995,0.731,0.045798243203705506
Argentina,ARG,2000,0.771,0.04177342349649331
Argentina,ARG,2005,0.782,0.04301779158788521
Argentina,ARG,2010,0.813,0.04427618277162902
Argentina,ARG,2015,0.822,0.04837020413120051
Argentina,ARG,2019,0.825,0.0497337626118391
Armenia,ARM,1990,0.631,0.18619478821119725
Armenia,ARM,1995,0.605,0.2157052951685674
Armenia,ARM,2000,0.647,0.21432822809292834
Armenia,ARM,2005,0.693,0.15735547513491738
Armenia,ARM,2010,0.728,0.07338324322051187
Armenia,ARM,2015,0.748,0.06535482351541742
Armenia,ARM,2019,0.755,0.06442189380223974
Australia,AUS,1990,0.866,0.23177203766752025
Australia,AUS,1995,0.883,0.2298212704736609
Australia,AUS,2000,0.898,0.2290111209732157
Australia,AUS,2005,0.908,0.2391800851197364
Australia,AUS,2010,0.923,0.2670228193402703
Australia,AUS,2015,0.936,0.28257185979422655
Australia,AUS,2019,0.939,0.30206300171064215
Austria,AUT,1990,0.795,0.10331525101428134
Austria,AUT,1995,0.817,0.11258954455292076
Austria,AUT,2000,0.838,0.12438854026790767
Austria,AUT,2005,0.855,0.13810082829869216
Austria,AUT,2010,0.895,0.15256849962048946
Austria,AUT,2015,0.903,0.1726745314166327
Austria,AUT,2019,0.908,0.20118114121145872
Azerbaijan,AZE,1995,0.612,0.04477163305139883
