pays,id,date,iig,pop
Afghanistan,AFG,2005,0.674,0.3421090557722336
Afghanistan,AFG,2010,0.665,0.4436362521471439
Afghanistan,AFG,2015,0.614,0.46370516384690075
Afghanistan,AFG,2019,0.575,0.467131611035558
Albania,ALB,2000,0.380,0.3062503728153023
Albania,ALB,2005,0.329,0.3717797042663326
Albania,ALB,2010,0.269,0.44532290776052336
Albania,ALB,2015,0.256,0.4633199451215875
Albania,ALB,2019,0.234,0.48704425400486484
Algeria,DZA,1995,0.679,0.22082452344322043
Algeria,DZA,2000,0.627,0.2353515866029338
Algeria,DZA,2005,0.561,0.3928246016010004
Algeria,DZA,2010,0.523,0.3814485310450929
Algeria,DZA,2015,0.442,0.43783268476087833
Algeria,DZA,2019,0.443,0.46442792618614714
Angola,AGO,2015,0.575,0.49250290965703836
Angola,AGO,2019,0.578,0.5079142671443039
Argentina,ARG,1995,0.418,0.2483871349714924
Argentina,ARG,2000,0.409,0.28338270440313634
Argentina,ARG,2005,0.371,0.4040520458568759
Argentina,ARG,2010,0.371,0.4689445774382434
Argentina,ARG,2019,0.354,0.5163950764445725
Armenia,ARM,1995,0.474,0.46166442797207435
Armenia,ARM,2000,0.468,0.4216011226638807
Armenia,ARM,2005,0.403,0.4266340397658491
Armenia,ARM,2010,0.345,0.4384120607598295
Armenia,ARM,2015,0.301,0.4541720561166111
Armenia,ARM,2019,0.259,0.46385959239175495
Australia,AUS,1995,0.180,0.3211457674684498
Australia,AUS,2000,0.160,0.3599154619708794
Australia,AUS,2005,0.139,0.3960658634399009
Australia,AUS,2010,0.138,0.4341426232774077
Australia,AUS,2015,0.110,0.4773626906653039
Australia,AUS,2019,0.103,0.5194151631428052
Austria,AUT,1995,0.186,0.4557444222588766
Austria,AUT,2000,0.150,0.4436635124576786
Austria,AUT,2005,0.118,0.4626530080736175
Austria,AUT,2010,0.111,0.4982203316260092
Austria,AUT,2015,0.089,0.5067453772028822
Austria,AUT,2019,0.073,0.534565500477472
Azerbaijan,AZE,2005,0.325,0.6003086900399013
Azerbaijan,AZE,2010,0.302,0.46955406055446547
Azerbaijan,AZE,2015,0.310,0.454948384395234
Azerbaijan,AZE,2019,0.321,0.4618298882555898
Bahamas,BHS,2000,0.387,0.42262250629478987
Bahamas,BHS,2005,0.360,0.4250543396388835
Bahamas,BHS,2010,0.386,0.44356209783287065
Bahamas,BHS,2015,0.374,0.5367895495728151
Bahamas,BHS,2019,0.353,0.5829298211634063
Bahrain,BHR,2005,0.325,0.41743553937459477
Bahrain,BHR,2010,0.236,0.4167206955596562
Bahrain,BHR,2015,0.226,0.46039266536997325
Bahrain,BHR,2019,0.207,0.5974265622662212
Bangladesh,BGD,1995,0.708,0.28878967504395575
Bangladesh,BGD,2000,0.680,0.2870493131467009
Bangladesh,BGD,2005,0.634,0.29347650179600854
Bangladesh,BGD,2010,0.588,0.3067438895888682
Bangladesh,BGD,2015,0.549,0.32174998008972894
Bangladesh,BGD,2019,0.536,0.3342688182692563
Barbados,BRB,1995,0.372,0.4197741864069072
Barbados,BRB,2000,0.356,0.44561434580473763
Barbados,BRB,2005,0.347,0.43729909231791014
Barbados,BRB,2010,0.320,0.4536019481957051
Barbados,BRB,2015,0.295,0.4924861633827762
Barbados,BRB,2019,0.256,0.5387735222492805
Belarus,BLR,2010,0.150,0.5688414458729574
Belarus,BLR,2015,0.153,0.5723152578954264
Belarus,BLR,2019,0.119,0.5747112697647343
Belgium,BEL,1995,0.162,0.3678430226561694
Belgium,BEL,2000,0.122,0.3897187747103517
Belgium,BEL,2005,0.104,0.40571904974730977
Belgium,BEL,2010,0.091,0.45967098703888337
Belgium,BEL,2015,0.057,0.4840066008869942
