origin,destination,migrant_stock,year,long_o,lat_o,long_d,lat_d
Afghanistan,Namibia,64,1990,66.00473366,33.83523073,17.20963567,-22.13032568
Afghanistan,Egypt,237,1990,66.00473366,33.83523073,29.86190099,26.49593311
Afghanistan,Libya,677,1990,66.00473366,33.83523073,18.00866169,27.03094495
Afghanistan,Azerbaijan,254,1990,66.00473366,33.83523073,47.54599879,40.28827235
Afghanistan,Bahrain,215,1990,66.00473366,33.83523073,50.54196932,26.04205135
Afghanistan,Cyprus,2,1990,66.00473366,33.83523073,33.0060022,34.91667211
Afghanistan,Iraq,241,1990,66.00473366,33.83523073,43.74353149,33.03970582
Afghanistan,Israel,2724,1990,66.00473366,33.83523073,35.00444693,31.46110101
Afghanistan,Jordan,74,1990,66.00473366,33.83523073,36.77136104,31.24579091
Afghanistan,Kuwait,1334,1990,66.00473366,33.83523073,47.58700459,29.33431262
Afghanistan,Qatar,384,1990,66.00473366,33.83523073,51.18479632,25.30601188
Afghanistan,Turkey,7652,1990,66.00473366,33.83523073,35.16895346,39.0616029
Afghanistan,Tajikistan,8485,1990,66.00473366,33.83523073,71.01362631,38.5304539
Afghanistan,Turkmenistan,321,1990,66.00473366,33.83523073,59.37100021,39.11554137
Afghanistan,India,14159,1990,66.00473366,33.83523073,79.6119761,22.88578212
Afghanistan,Pakistan,3374973,1990,66.00473366,33.83523073,69.33957937,29.9497515
Afghanistan,Malaysia,32,1990,66.00473366,33.83523073,109.6976228,3.789868456
Afghanistan,Philippines,25,1990,66.00473366,33.83523073,122.8839325,11.77536778
Afghanistan,Nicaragua,27,1990,66.00473366,33.83523073,-85.0305297,12.84709429
Afghanistan,Argentina,20,1990,66.00473366,33.83523073,-65.17980693,-35.3813488
Afghanistan,Colombia,107,1990,66.00473366,33.83523073,-73.08114582,3.913834307
Afghanistan,Ecuador,18,1990,66.00473366,33.83523073,-78.75201923,-1.423816125
Afghanistan,Australia,2729,1990,66.00473366,33.83523073,134.4910001,-25.73288704
Afghanistan,Belarus,140,1990,66.00473366,33.83523073,28.03209307,53.53131377
Afghanistan,Bulgaria,222,1990,66.00473366,33.83523073,25.21552909,42.76890318
Afghanistan,Hungary,274,1990,66.00473366,33.83523073,19.39559116,47.16277506
Afghanistan,Poland,219,1990,66.00473366,33.83523073,19.39012835,52.12759564
Afghanistan,Slovakia,26,1990,66.00473366,33.83523073,19.47905218,48.70547528
Afghanistan,Ukraine,2552,1990,66.00473366,33.83523073,31.38326469,48.99656673
Afghanistan,Denmark,354,1990,66.00473366,33.83523073,10.02800992,55.98125296
Afghanistan,Finland,4,1990,66.00473366,33.83523073,26.2746656,64.49884603
Afghanistan,Iceland,1,1990,66.00473366,33.83523073,-18.57396167,64.99575386
Afghanistan,Ireland,29,1990,66.00473366,33.83523073,-8.137935687,53.1754487
Afghanistan,Latvia,20,1990,66.00473366,33.83523073,24.91235983,56.85085163
Afghanistan,Lithuania,40,1990,66.00473366,33.83523073,23.88719355,55.32610984
Afghanistan,Norway,253,1990,66.00473366,33.83523073,15.34834656,68.75015572
Afghanistan,Sweden,3368,1990,66.00473366,33.83523073,16.74558049,62.77966519
Afghanistan,Greece,621,1990,66.00473366,33.83523073,22.95555794,39.07469623
Afghanistan,Italy,271,1990,66.00473366,33.83523073,12.07001339,42.79662641
Afghanistan,Slovenia,1,1990,66.00473366,33.83523073,14.80444238,46.11554772
Afghanistan,Spain,24,1990,66.00473366,33.83523073,-3.647550473,40.24448698
Afghanistan,Austria,4748,1990,66.00473366,33.83523073,14.1264761,47.58549439
Afghanistan,Belgium,93,1990,66.00473366,33.83523073,4.640651139,50.63981576
Afghanistan,France,3346,1990,66.00473366,33.83523073,-2.761729445,42.17344011
Afghanistan,Germany,33279,1990,66.00473366,33.83523073,10.38578051,51.10698181
Afghanistan,Netherlands,9865,1990,66.00473366,33.83523073,5.28144793,52.1007899
Afghanistan,Switzerland,1756,1990,66.00473366,33.83523073,8.208674706,46.79785878
Afghanistan,Canada,5321,1990,66.00473366,33.83523073,-98.30777028,61.36206324
Albania,Egypt,111,1990,20.04983396,41.14244989,29.86190099,26.49593311
Albania,Libya,315,1990,20.04983396,41.14244989,18.00866169,27.03094495
Albania,Cyprus,69,1990,20.04983396,41.14244989,33.0060022,34.91667211
