origin,id_origin,destination,id_destination,migrant_stock,year,long_o,lat_o,long_d,lat_d
Afghanistan,AFG,Namibia,NAM,64,1990,66.00473366,33.83523073,17.20963567,-22.13032568
Afghanistan,AFG,Egypt,EGY,237,1990,66.00473366,33.83523073,29.86190099,26.49593311
Afghanistan,AFG,Libya,LBY,677,1990,66.00473366,33.83523073,18.00866169,27.03094495
Afghanistan,AFG,Azerbaijan,AZE,254,1990,66.00473366,33.83523073,47.54599879,40.28827235
Afghanistan,AFG,Bahrain,BHR,215,1990,66.00473366,33.83523073,50.54196932,26.04205135
Afghanistan,AFG,Cyprus,CYP,2,1990,66.00473366,33.83523073,33.0060022,34.91667211
Afghanistan,AFG,Iraq,IRQ,241,1990,66.00473366,33.83523073,43.74353149,33.03970582
Afghanistan,AFG,Israel,ISR,2724,1990,66.00473366,33.83523073,35.00444693,31.46110101
Afghanistan,AFG,Jordan,JOR,74,1990,66.00473366,33.83523073,36.77136104,31.24579091
Afghanistan,AFG,Kuwait,KWT,1334,1990,66.00473366,33.83523073,47.58700459,29.33431262
Afghanistan,AFG,Qatar,QAT,384,1990,66.00473366,33.83523073,51.18479632,25.30601188
Afghanistan,AFG,Turkey,TUR,7652,1990,66.00473366,33.83523073,35.16895346,39.0616029
Afghanistan,AFG,Tajikistan,TJK,8485,1990,66.00473366,33.83523073,71.01362631,38.5304539
Afghanistan,AFG,Turkmenistan,TKM,321,1990,66.00473366,33.83523073,59.37100021,39.11554137
Afghanistan,AFG,India,IND,14159,1990,66.00473366,33.83523073,79.6119761,22.88578212
Afghanistan,AFG,Pakistan,PAK,3374973,1990,66.00473366,33.83523073,69.33957937,29.9497515
Afghanistan,AFG,Malaysia,MYS,32,1990,66.00473366,33.83523073,109.6976228,3.789868456
Afghanistan,AFG,Philippines,PHL,25,1990,66.00473366,33.83523073,122.8839325,11.77536778
Afghanistan,AFG,Nicaragua,NIC,27,1990,66.00473366,33.83523073,-85.0305297,12.84709429
Afghanistan,AFG,Argentina,ARG,20,1990,66.00473366,33.83523073,-65.17980693,-35.3813488
Afghanistan,AFG,Colombia,COL,107,1990,66.00473366,33.83523073,-73.08114582,3.913834307
Afghanistan,AFG,Ecuador,ECU,18,1990,66.00473366,33.83523073,-78.75201923,-1.423816125
Afghanistan,AFG,Australia,AUS,2729,1990,66.00473366,33.83523073,134.4910001,-25.73288704
Afghanistan,AFG,Belarus,BLR,140,1990,66.00473366,33.83523073,28.03209307,53.53131377
Afghanistan,AFG,Bulgaria,BGR,222,1990,66.00473366,33.83523073,25.21552909,42.76890318
Afghanistan,AFG,Hungary,HUN,274,1990,66.00473366,33.83523073,19.39559116,47.16277506
Afghanistan,AFG,Poland,POL,219,1990,66.00473366,33.83523073,19.39012835,52.12759564
Afghanistan,AFG,Slovakia,SVK,26,1990,66.00473366,33.83523073,19.47905218,48.70547528
Afghanistan,AFG,Ukraine,UKR,2552,1990,66.00473366,33.83523073,31.38326469,48.99656673
Afghanistan,AFG,Denmark,DNK,354,1990,66.00473366,33.83523073,10.02800992,55.98125296
Afghanistan,AFG,Finland,FIN,4,1990,66.00473366,33.83523073,26.2746656,64.49884603
Afghanistan,AFG,Iceland,ISL,1,1990,66.00473366,33.83523073,-18.57396167,64.99575386
Afghanistan,AFG,Ireland,IRL,29,1990,66.00473366,33.83523073,-8.137935687,53.1754487
Afghanistan,AFG,Latvia,LVA,20,1990,66.00473366,33.83523073,24.91235983,56.85085163
Afghanistan,AFG,Lithuania,LTU,40,1990,66.00473366,33.83523073,23.88719355,55.32610984
Afghanistan,AFG,Norway,NOR,253,1990,66.00473366,33.83523073,15.34834656,68.75015572
Afghanistan,AFG,Sweden,SWE,3368,1990,66.00473366,33.83523073,16.74558049,62.77966519
Afghanistan,AFG,Greece,GRC,621,1990,66.00473366,33.83523073,22.95555794,39.07469623
Afghanistan,AFG,Italy,ITA,271,1990,66.00473366,33.83523073,12.07001339,42.79662641
Afghanistan,AFG,Slovenia,SVN,1,1990,66.00473366,33.83523073,14.80444238,46.11554772
Afghanistan,AFG,Spain,ESP,24,1990,66.00473366,33.83523073,-3.647550473,40.24448698
